index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
2319,Qeii - Victoria General (Vg) Site,tertiary,Hospitals,Province of Nova Scotia,1278,south park street,B3G 1M4,Halifax,NS,,Halifax,1209034.0,12.0,44.63840489,-63.58040241,3
2320,Queen Elizabeth Ii Health Sciences Centre,general,Hospitals,Public Health Agency of Canada,1276,south park st,B3K 6A3,Halifax,NS,1276 south park st. halifax ns b3k 6a3,Halifax,1209034.0,12.0,44.638422,-63.581341,3
2324,Queens General Hospital,general,Hospitals,Public Health Agency of Canada,175,school st,B0T 1K0,Liverpool,NS,175 school st. liverpool ns b0t 1k0,Queens,1204010.0,12.0,44.037653000000006,-64.70559399999999,3
2325,Queens Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,20,hollands dr,B0T 1K0,Liverpool,NS,,Queens,1204010.0,12.0,44.03617567,-64.70679145,3
2326,r.c. Macgillivray Guest Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,25,xavier dr,B1S 2R9,Sydney,NS,,Cape Breton,1217030.0,12.0,46.12356627,-60.19425513,3
2328,Rk Macdonald Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,64,pleasant street,B2G 1W7,Antigonish,NS,,Antigonish,1214002.0,12.0,45.62516431,-61.99132033,3
2329,Rosedale Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,4927,highway trunk 10,B0R 1E0,New Germany,NS,,Lunenburg,1206001.0,12.0,44.53721096,-64.71115891,3
2330,Roseway Hospital,general,Hospitals,Public Health Agency of Canada,1606,sandy point rd,B0T 1W0,Shelburne,NS,1606 sandy point rd. shelburne ns b0t 1w0,Shelburne,1201006.0,12.0,43.749523,-65.310347,3
2331,Roseway Manor Inc.,nursing home,Nursing and residential care facilities,Province of Nova Scotia,1604,lake road,B0T 1W0,Sandy Point,NS,,Shelburne,1201006.0,12.0,43.74876507,-65.30896095,3
2332,Ryan Hall,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,313,hollingsworth drive,B4V 0A3,Bridgewater,NS,,Bridgewater,1206004.0,12.0,44.38345744,-64.50550609,3
2334,Saint Vincent's Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,2080,windsor st,B3K 5B2,Halifax,NS,,Halifax,1209034.0,12.0,44.64791631,-63.59419064,3
2336,Seabright Rest Home Ltd.,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,11625,peggys cove road,B3Z 2Y1,Seabright,NS,,Halifax,1209034.0,12.0,44.62317275,-63.92622043,3
2337,Seaview Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,275,south street,B1A 1W6,Glace Bay,NS,,Cape Breton,1217030.0,12.0,46.18448967,-59.93643857,3
2338,Serenity Lodge,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,39,russell mckeen drive,B2T 1A7,Enfield,NS,,East Hants,1208008.0,12.0,44.95087375,-63.53505955,3
2339,Shiretown Nursing Home,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,280,haliburton rd,B0K 1H0,Pictou,NS,,Pictou,1212004.0,12.0,45.67775737,-62.72953760000001,3
2340,Shoreham Village,nursing home,Nursing and residential care facilities,Province of Nova Scotia,50,shoreham village crescent,B0J 1J0,Chester,NS,,Chester,1206009.0,12.0,44.54485891,-64.23220467,3
2341,Sisters of St. Martha,nursing home,Nursing and residential care facilities,Province of Nova Scotia,45,bay street,B2G 2G6,Antgonish,NS,,Antigonish,1214002.0,12.0,45.63114048,-61.98085488,3
